brand,type,nominal_power,reference,note
Dewind,D6,1.25,https://en.wind-turbine-models.com/turbines/4-dewind-d6-62-1250,
Enercon,E 126,6.0,https://en.wind-turbine-models.com/turbines/920-enercon-e-126-6.000,
Enercon,E 126,7.5,https://en.wind-turbine-models.com/turbines/14-enercon-e-126-7.580,
Enercon,E33,0.33,https://en.wind-turbine-models.com/turbines/368-enercon-e-33-300,
Enercon,E40b,0.5,https://en.wind-turbine-models.com/turbines/67-enercon-e-40-5.40,
Enercon,E40b,0.695,https://en.wind-turbine-models.com/turbines/68-enercon-e-40-6.44,
Enercon,E48,0.8,https://en.wind-turbine-models.com/turbines/529-enercon-e-48,
Enercon,E53,0.8,https://en.wind-turbine-models.com/turbines/530-enercon-e-53,
Enercon,E82,2.0,https://en.wind-turbine-models.com/turbines/835-enercon-e-82-e2-2.000,
Enercon,E82,2.3,https://en.wind-turbine-models.com/turbines/550-enercon-e-82-e2-2.300,
Enercon,E87,2.3,https://en.wind-turbine-models.com/turbines/550-enercon-e-82-e2-2.300,"E87 does not exist, replaced by E82"
Enercon,E92,2.3,https://en.wind-turbine-models.com/turbines/131-enercon-e-92,
Enercon,E92,2.35,https://en.wind-turbine-models.com/turbines/131-enercon-e-92,
Fuhrlander,FL 2500 2500kW,2.5,https://en.wind-turbine-models.com/turbines/83-fuhrlaender-fl-2500-90,
GE,GE 1.5,1.5,https://en.wind-turbine-models.com/turbines/565-ge-general-electric-ge-1.5s,
GE,GE 1.5sl,1.5,https://en.wind-turbine-models.com/turbines/20-ge-general-electric-ge-1.5sl,
GE,GE 2.5,2.5,https://en.wind-turbine-models.com/turbines/310-ge-general-electric-ge-2.5-120,
GE,GE 2.75,2.75,https://en.wind-turbine-models.com/turbines/747-ge-general-electric-ge-2.75-103,
Gamesa,G114,2.5,https://en.wind-turbine-models.com/turbines/765-gamesa-g114-2.5mw,
Nordex,N 100,2.3,https://en.wind-turbine-models.com/turbines/44-nordex-n100-gamma,"Nordex N 100 2.3 does not exist, replaced by Nordex N 100 2.5"
Nordex,N 100,2.5,https://en.wind-turbine-models.com/turbines/44-nordex-n100-gamma,
Senvion,3.4M,3.375,https://en.wind-turbine-models.com/turbines/1003-senvion-3.4m114,
Senvion,3.4M,3.4,https://en.wind-turbine-models.com/turbines/1003-senvion-3.4m114,
Senvion,MD77,1.5,https://en.wind-turbine-models.com/turbines/549-repower-md77,
Senvion,MM100,2.0,https://en.wind-turbine-models.com/turbines/890-senvion-mm100,
Senvion,MM114,3.2,https://en.wind-turbine-models.com/turbines/882-senvion-3.2m114,
Senvion,MM114,3.4,https://en.wind-turbine-models.com/turbines/1003-senvion-3.4m114,
Senvion,MM92,2.0,https://en.wind-turbine-models.com/turbines/889-senvion-mm92,
Senvion,MM92,2.05,https://en.wind-turbine-models.com/turbines/889-senvion-mm92,
Siemens,SWT-3.2-113,3.2,https://en.wind-turbine-models.com/turbines/966-siemens-swt-3.2-113,
Vestas,V100,2.0,https://en.wind-turbine-models.com/turbines/1001-vestas-v100-2.0,
Vestas,V100,2.2,https://en.wind-turbine-models.com/turbines/1532-vestas-v100-2.2,
Vestas,V112,3.45,https://en.wind-turbine-models.com/turbines/1247-vestas-v112-3.45,
Vestas,V80,2.0,https://en.wind-turbine-models.com/turbines/19-vestas-v80-2.0,
Vestas,V90,2.0,https://en.wind-turbine-models.com/turbines/16-vestas-v90,
